exp_block,prob_left,prob_right,exp_loc,att_loc,probe_loc,is_valid,trial_type,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_txt.started,instr_txt.stopped,Fix_Example_2.started,Fix_Example_2.stopped,instr_resp.keys,instr_resp.rt,instr_resp.started,instr_resp.stopped,end_break.keys,end_break.started,end_break.stopped,break_text.started,break_text.stopped,block_count.started,block_count.stopped,cat_accuracy.started,cat_accuracy.stopped,countdown_timer.started,countdown_timer.stopped,place_right.started,place_right.stopped,place_left.started,place_left.stopped,long_back_R.started,long_back_R.stopped,hi_back_R.started,hi_back_R.stopped,hi_back_L.started,hi_back_L.stopped,long_back_L.started,long_back_L.stopped,ITI,place_left_3.started,place_left_3.stopped,place_right_3.started,place_right_3.stopped,long_back_R_3.started,long_back_R_3.stopped,hi_back_R_3.started,hi_back_R_3.stopped,hi_back_L_3.started,hi_back_L_3.stopped,long_back_L_3.started,long_back_L_3.stopped,pre_cue_fix_2.started,pre_cue_fix_2.stopped,place_right_5.started,place_right_5.stopped,place_left_5.started,place_left_5.stopped,long_back_R_5.started,long_back_R_5.stopped,hi_back_R_5.started,hi_back_R_5.stopped,hi_back_L_5.started,hi_back_L_5.stopped,long_back_L_5.started,long_back_L_5.stopped,att_left_2.started,att_left_2.stopped,att_right_2.started,att_right_2.stopped,att_cue_fix_3.started,att_cue_fix_3.stopped,stim_left,stim_right,place_right_4.started,place_right_4.stopped,place_left_4.started,place_left_4.stopped,long_back_R_4.started,long_back_R_4.stopped,hi_back_R_4.started,hi_back_R_4.stopped,hi_back_L_4.started,hi_back_L_4.stopped,long_back_L_4.started,long_back_L_4.stopped,post_cue_fix2.started,post_cue_fix2.stopped,place_right_2.started,place_right_2.stopped,place_left_2.started,place_left_2.stopped,long_back_R_2.started,long_back_R_2.stopped,hi_back_R_2.started,hi_back_R_2.stopped,hi_back_L_2.started,hi_back_L_2.stopped,long_back_L_2.started,long_back_L_2.stopped,stim_left_2.started,stim_left_2.stopped,stim_right_2.started,stim_right_2.stopped,stim_fix_2.started,stim_fix_2.stopped,post_stim_fix.started,post_stim_fix.stopped,place_left_7.started,place_left_7.stopped,place_right_7.started,place_right_7.stopped,long_back_R_7.started,long_back_R_7.stopped,hi_back_R_7.started,hi_back_R_7.stopped,hi_back_L_7.started,hi_back_L_7.stopped,long_back_L_7.started,long_back_L_7.stopped,objective_category,category_response,category_correct,q_category.started,q_category.stopped,cat_resp.keys,cat_resp.rt,cat_resp.started,cat_resp.stopped,probe_cue_cat.started,probe_cue_cat.stopped,place_left_8.started,place_left_8.stopped,place_right_8.started,place_right_8.stopped,long_back_R_8.started,long_back_R_8.stopped,hi_back_R_8.started,hi_back_R_8.stopped,hi_back_L_8.started,hi_back_L_8.stopped,long_back_L_8.started,long_back_L_8.stopped,q_recognition.started,q_recognition.stopped,rec_resp.keys,rec_resp.rt,rec_resp.started,rec_resp.stopped,probe_cue_rec.started,probe_cue_rec.stopped,place_left_9.started,place_left_9.stopped,place_right_9.started,place_right_9.stopped,long_back_R_9.started,long_back_R_9.stopped,hi_back_R_9.started,hi_back_R_9.stopped,hi_back_L_9.started,hi_back_L_9.stopped,long_back_L_9.started,long_back_L_9.stopped,q_confidence.started,q_confidence.stopped,conf_resp.keys,conf_resp.rt,conf_resp.started,conf_resp.stopped,probe_cue_cat_2.started,probe_cue_cat_2.stopped,place_left_10.started,place_left_10.stopped,place_right_10.started,place_right_10.stopped,long_back_R_10.started,long_back_R_10.stopped,hi_back_R_10.started,hi_back_R_10.stopped,hi_back_L_10.started,hi_back_L_10.stopped,long_back_L_10.started,long_back_L_10.stopped,fbck_cor.started,fbck_cor.stopped,fbck_incor.started,fbck_incor.stopped,subject,session,EyeTrack,ExpMon,HPColor,Control,feedback,date,expName,psychopyVersion,frameRate,
low,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",Lo,R,R,Valid,E-A+,,,,,0,0,0,7,0,0,0,10,23.806366667035036,None,23.806366667035036,None,1,0.4910740000195801,23.806366667035036,None,None,None,None,None,None,None,None,None,None,None,None,24.448159500025213,None,24.448159500025213,None,24.448159500025213,None,24.448159500025213,None,24.448159500025213,None,24.448159500025213,None,1.0,27.466263625014108,None,27.466263625014108,None,27.466263625014108,None,27.466263625014108,None,27.466263625014108,None,27.466263625014108,None,27.466263625014108,None,28.478309334022924,None,28.478309334022924,None,28.478309334022924,None,28.478309334022924,None,28.478309334022924,None,28.478309334022924,None,28.478309334022924,None,28.478309334022924,None,28.478309334022924,None,../images/FM1scram.npy,../images/OH2scram.npy,28.53902745898813,None,28.53902745898813,None,28.53902745898813,None,28.53902745898813,None,28.53902745898813,None,28.53902745898813,None,28.53902745898813,None,29.450508416979574,None,29.450508416979574,None,29.450508416979574,None,29.450508416979574,None,29.450508416979574,None,29.450508416979574,None,29.450508416979574,None,29.450508416979574,None,29.450508416979574,None,29.51693429198349,None,29.51693429198349,None,29.51693429198349,None,29.51693429198349,None,29.51693429198349,None,29.51693429198349,None,29.51693429198349,None,O,A,0,29.939592084032483,None,7,0.1960501249996014,29.939592084032483,None,29.939592084032483,None,29.939592084032483,None,29.939592084032483,None,29.939592084032483,None,29.939592084032483,None,29.939592084032483,None,29.939592084032483,None,30.15600324998377,None,7,0.3650243330048397,30.15600324998377,None,30.15600324998377,None,30.15600324998377,None,30.15600324998377,None,30.15600324998377,None,30.15600324998377,None,30.15600324998377,None,30.15600324998377,None,30.54808195901569,None,7,0.42487733403686434,30.54808195901569,None,30.54808195901569,None,30.54808195901569,None,30.54808195901569,None,30.54808195901569,None,30.54808195901569,None,30.54808195901569,None,30.54808195901569,None,None,None,None,None,,001,False,EEG,black,False,False,2023_Apr_12_1042,SEA,2020.2.10,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
