expectation_condition,Expect Real,Expect Real,Expect Scrambled,Expect Scrambled
attention_condition,Attended,Unattended,Attended,Unattended
subject,,,,
P20,0.57,0.48,0.61,0.53
P21,0.86,0.56,0.81,0.71
P22,0.51,0.37,0.59,0.53
P30,0.55,0.28,0.41,0.31
P34,0.88,0.56,0.91,0.88
P35,0.75,0.7,0.75,0.81
P36,0.44,0.38,0.44,0.5
P37,0.59,0.5,0.55,0.5
P38,0.44,0.23,0.44,0.34
P39,0.52,0.27,0.44,0.22
P41,0.78,0.3,0.76,0.53
P42,0.75,0.47,0.72,0.53
P43,0.59,0.46,0.62,0.5
P44,0.49,0.4,0.47,0.47
P45,0.68,0.2,0.75,0.22
P46,0.67,0.08,0.72,0.12
P49,0.6,0.27,0.59,0.32
P50,0.71,0.63,0.75,0.75
P52,0.7,0.25,0.62,0.26
