subject,Attended_Expect Real,Attended_Expect Scrambled,Unattended_Expect Real,Unattended_Expect Scrambled
P57,0.28125,0.30158730158730157,0.4375,0.21428571428571427
P58,0.21052631578947367,0.22580645161290322,0.5,0.5142857142857142
P59,0.6551724137931034,0.2923076923076923,0.6111111111111112,0.3333333333333333
P61,0.09375,0.15873015873015872,0.38461538461538464,0.2857142857142857
P62,0.5714285714285714,0.5254237288135594,0.3157894736842105,0.20588235294117646
P63,0.3,0.38235294117647056,0.4117647058823529,0.34285714285714286
