subject,Attended_Expect Real,Attended_Expect Scrambled,Unattended_Expect Real,Unattended_Expect Scrambled
P57,0.5104166666666666,0.3157894736842105,0.3333333333333333,0.16666666666666666
P58,0.6526315789473685,0.3894736842105263,0.2708333333333333,0.3333333333333333
P59,0.59375,0.42105263157894735,0.3333333333333333,0.375
P61,0.7888888888888889,0.6263736263736264,0.631578947368421,0.47619047619047616
P62,0.6808510638297872,0.53125,0.2,0.26666666666666666
P63,0.5520833333333334,0.46875,0.41304347826086957,0.375
