subject,Attended_Expect Real,Attended_Expect Scrambled,Unattended_Expect Real,Unattended_Expect Scrambled
P57,0.5526315789473685,0.45454545454545453,0.35714285714285715,0.6363636363636364
P58,0.9024390243902439,0.8928571428571429,0.2,0.6
P59,0.6666666666666666,0.5454545454545454,0.5714285714285714,0.6
P61,0.9824561403508771,0.967741935483871,0.8260869565217391,0.8888888888888888
P62,0.8461538461538461,0.8064516129032258,0.38461538461538464,0.16666666666666666
P63,0.8043478260869565,0.75,0.625,0.6666666666666666
