subject,Attended_Expect Real,Attended_Expect Scrambled,Unattended_Expect Real,Unattended_Expect Scrambled
P57,0.7727272727272727,0.48484848484848486,0.4857142857142857,0.35294117647058826
P58,0.7,0.7567567567567568,0.3235294117647059,0.5
P59,0.8412698412698413,0.8,0.5769230769230769,0.5
P61,0.9833333333333333,0.9666666666666667,0.71875,0.2222222222222222
P62,0.8714285714285714,0.8666666666666667,0.36666666666666664,0.3888888888888889
P63,0.84375,0.7878787878787878,0.6470588235294118,0.7777777777777778
