subject,Attended_Expect Real,Attended_Expect Scrambled,Unattended_Expect Real,Unattended_Expect Scrambled
P57,0.21739130434782608,0.25,0.1111111111111111,0.22727272727272727
P58,0.2,0.2708333333333333,0.25,0.058823529411764705
P59,0.6,0.21739130434782608,0.2857142857142857,0.3181818181818182
P61,0.3076923076923077,0.40816326530612246,0.0,0.2727272727272727
P62,0.09090909090909091,0.13043478260869565,0.16666666666666666,0.18181818181818182
P63,0.3333333333333333,0.2857142857142857,0.2,0.2608695652173913
