subject,Attended_Expect Real,Attended_Expect Scrambled,Unattended_Expect Real,Unattended_Expect Scrambled
P57,0.6904761904761905,0.6,0.42857142857142855,0.5
P58,0.7,0.8461538461538461,0.36363636363636365,0.2
P59,0.9512195121951219,0.8181818181818182,0.65,0.5
P61,0.9019607843137255,1.0,0.68,0.8
P62,0.9387755102040817,0.8333333333333334,0.35714285714285715,0.6666666666666666
P63,0.6666666666666666,0.875,0.47619047619047616,0.75
