subject,Attended_Expect Real,Attended_Expect Scrambled,Unattended_Expect Real,Unattended_Expect Scrambled
P57,0.6470588235294118,0.3125,0.4117647058823529,0.5
P58,0.9047619047619048,0.7857142857142857,0.18181818181818182,0.2857142857142857
P59,0.8113207547169812,0.7083333333333334,0.6,0.7777777777777778
P61,0.9827586206896551,0.9655172413793104,0.782608695652174,0.6666666666666666
P62,0.9,0.8846153846153846,0.18181818181818182,0.2857142857142857
P63,0.7407407407407407,0.8076923076923077,0.5454545454545454,0.6428571428571429
