subject,Attended_Expect Real,Attended_Expect Scrambled,Unattended_Expect Real,Unattended_Expect Scrambled
P57,0.59375,0.6666666666666666,0.4375,0.55
P58,0.7068965517241379,0.8235294117647058,0.46875,0.38461538461538464
P59,0.9402985074626866,0.7096774193548387,0.7,0.6666666666666666
P61,0.90625,0.96875,0.6571428571428571,0.7692307692307693
P62,0.9558823529411765,0.8648648648648649,0.4482758620689655,0.42857142857142855
P63,0.696969696969697,0.8571428571428571,0.5333333333333333,0.6923076923076923
