subject,Attended_Expect Real,Attended_Expect Scrambled,Unattended_Expect Real,Unattended_Expect Scrambled
P57,0.7916666666666666,0.4642857142857143,0.4666666666666667,0.36363636363636365
P58,0.7368421052631579,0.72,0.07142857142857142,0.2222222222222222
P59,0.8636363636363636,0.7619047619047619,0.5,0.6363636363636364
P61,0.9523809523809523,1.0,0.8181818181818182,0.23076923076923078
P62,0.9629629629629629,0.8333333333333334,0.3333333333333333,0.3
P63,0.7727272727272727,0.7407407407407407,0.46153846153846156,0.7
