subject,Attended_Expect Real,Attended_Expect Scrambled,Unattended_Expect Real,Unattended_Expect Scrambled
P57,0.5333333333333333,0.31746031746031744,0.23076923076923078,0.25806451612903225
P58,0.16666666666666666,0.2542372881355932,0.42857142857142855,0.35294117647058826
P59,0.5454545454545454,0.3939393939393939,0.5454545454545454,0.3
P61,0.2222222222222222,0.045454545454545456,0.375,0.16666666666666666
P62,0.6538461538461539,0.5303030303030303,0.3888888888888889,0.23333333333333334
P63,0.5483870967741935,0.2698412698412698,0.2857142857142857,0.26666666666666666
